"시점",선행종합지수(2020=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
"2017.01",89.7,0.6,3.6,0.0,2.2,-11.9,-0.2,0.4,0.13,100.4,0.2,4.5,0.2,94.7,0.6,2.1,0.4,0.2,-0.2,1.7,0.6,0.1,100.7,0.4,90.8,0.2,-0.9,0.1,0.2,0.1,0.1
"2017.02",90.1,0.4,1.6,0.6,0.6,19.3,-0.4,1.7,0.04,100.7,0.3,4.7,0.2,95.0,0.3,0.0,0.3,0.4,0.5,-1.1,1.7,0.1,100.7,0.0,91.0,0.2,-0.6,0.0,0.5,0.1,0.0
"2017.03",90.5,0.4,0.4,2.2,0.8,-6.8,0.1,1.9,0.01,100.9,0.2,4.9,0.2,95.4,0.4,1.0,0.2,1.7,-0.4,-0.4,1.8,0.1,100.9,0.2,91.3,0.3,0.7,0.0,1.8,0.1,0.0
"2017.04",91.0,0.6,-1.8,1.3,-0.3,12.3,0.6,1.6,0.02,101.1,0.2,5.0,0.1,95.6,0.2,-0.5,0.1,1.9,0.3,-0.9,1.5,0.1,101.0,0.1,91.6,0.3,1.0,0.0,1.3,0.1,0.0
"2017.05",91.2,0.2,-3.1,1.0,0.8,-16.4,0.5,3.4,0.02,101.2,0.1,5.0,0.0,96.0,0.4,0.1,0.4,0.5,-0.3,0.6,2.0,0.1,101.1,0.1,91.8,0.2,1.5,-0.1,-0.4,0.0,0.0
"2017.06",91.6,0.4,-2.1,0.0,1.0,7.4,0.5,3.6,-0.02,101.4,0.2,5.1,0.1,96.2,0.2,-1.2,0.2,-0.7,0.5,0.2,2.2,0.0,101.1,0.0,92.0,0.2,0.6,-0.1,0.3,0.0,0.0
"2017.07",91.9,0.3,-1.2,-0.1,0.1,-14.9,0.6,3.7,0.02,101.5,0.1,5.1,0.0,96.3,0.1,-0.1,0.3,0.7,0.0,0.6,-1.2,0.1,101.0,-0.1,92.3,0.3,0.2,-0.1,2.5,0.1,0.0
"2017.08",92.3,0.4,0.5,-0.1,0.3,6.7,0.2,1.0,0.03,101.7,0.2,5.1,0.0,96.6,0.3,-0.5,0.4,-0.2,-0.1,0.6,1.2,0.0,101.1,0.1,92.6,0.3,-0.3,0.0,4.2,0.1,0.0
"2017.09",92.5,0.2,0.2,-0.3,-2.2,0.9,-0.3,0.0,0.04,101.7,0.0,4.8,-0.3,96.9,0.3,0.6,0.5,1.2,0.4,0.4,-0.7,0.1,101.2,0.1,92.8,0.2,0.2,0.0,0.8,0.1,0.0
"2017.10",92.9,0.4,-0.4,0.9,-1.4,7.1,-0.6,1.0,0.10,101.8,0.1,4.7,-0.1,97.1,0.2,0.3,0.1,0.6,0.3,0.5,-0.9,0.0,101.2,0.0,93.0,0.2,1.0,0.0,-2.5,0.1,0.0
