film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day
1492,304,3900000,26,0,4,4.26,150000.0,26,610.3286384976526,2018-05-05,5,2,5
1492,352,3360000,42,0,5,8.08,80000.0,42,519.8019801980198,2018-05-05,5,2,5
1492,489,2560000,32,0,4,20.0,80000.0,32,160.0,2018-05-05,5,2,5
1492,429,1200000,12,0,1,11.01,100000.0,12,108.99182561307903,2018-05-05,5,2,5
1492,524,1200000,15,0,3,16.67,80000.0,15,89.98200359928013,2018-05-05,5,2,5
1492,71,1050000,7,0,3,0.98,150000.0,7,714.2857142857143,2018-05-05,5,2,5
1492,163,1020000,10,0,3,7.69,102000.0,10,130.03901170351105,2018-05-05,5,2,5
1492,450,750000,5,0,3,1.57,150000.0,5,318.4713375796178,2018-05-05,5,2,5
1492,51,750000,11,0,2,0.95,68181.81818181818,11,1157.8947368421052,2018-05-05,5,2,5
1492,522,600000,4,0,3,1.55,150000.0,4,258.06451612903226,2018-05-05,5,2,5
1492,43,480000,6,0,3,0.44,80000.0,6,1363.6363636363637,2018-05-05,5,2,5
1492,529,480000,4,0,3,2.96,120000.0,4,135.13513513513513,2018-05-05,5,2,5
1492,82,400000,5,0,6,0.53,80000.0,5,943.3962264150942,2018-05-05,5,2,5
1492,344,300000,2,0,3,0.25,150000.0,2,800.0,2018-05-05,5,2,5
1492,73,240000,2,0,1,2.04,120000.0,2,98.0392156862745,2018-05-05,5,2,5
1492,304,16500000,112,0,4,18.33,147321.42857142858,112,611.0201854882707,2018-05-04,5,2,4
1492,352,13950000,93,0,5,10.57,150000.0,93,879.8486281929991,2018-05-04,5,2,4
1492,344,10200000,68,0,3,8.54,150000.0,68,796.2529274004685,2018-05-04,5,2,4
1492,71,6600000,44,0,3,6.14,150000.0,44,716.6123778501629,2018-05-04,5,2,4
1492,163,3360000,31,0,3,24.8,108387.09677419355,31,125.0,2018-05-04,5,2,4
1492,522,3000000,20,0,3,7.75,150000.0,20,258.06451612903226,2018-05-04,5,2,4
1492,485,2400000,16,0,3,11.59,150000.0,16,138.05004314063848,2018-05-04,5,2,4
1492,524,1800000,12,0,3,13.33,150000.0,12,90.0225056264066,2018-05-04,5,2,4
1492,518,1680000,14,1,3,8.48,120000.0,13,165.0943396226415,2018-05-04,5,2,4
1492,51,1400000,17,0,1,2.93,82352.94117647059,17,580.2047781569966,2018-05-04,5,2,4
1492,448,1350000,9,0,2,2.37,150000.0,9,379.746835443038,2018-05-04,5,2,4
1492,429,1200000,12,0,1,11.01,100000.0,12,108.99182561307903,2018-05-04,5,2,4
1492,450,1050000,7,0,2,3.3,150000.0,7,212.12121212121212,2018-05-04,5,2,4
1492,489,900000,6,0,3,5.0,150000.0,6,120.0,2018-05-04,5,2,4
1492,43,880000,11,0,3,0.81,80000.0,11,1358.0246913580247,2018-05-04,5,2,4
1492,431,720000,6,0,2,11.54,120000.0,6,51.99306759098788,2018-05-04,5,2,4
1492,529,600000,5,0,2,5.56,120000.0,5,89.92805755395685,2018-05-04,5,2,4
1492,82,160000,2,0,6,0.21,80000.0,2,952.3809523809524,2018-05-04,5,2,4
1492,304,16500000,110,0,4,18.0,150000.0,110,611.1111111111111,2018-05-03,5,2,3
1492,163,6060000,54,0,4,32.73,112222.22222222222,54,164.98625114573787,2018-05-03,5,2,3
1492,344,5400000,36,0,3,4.52,150000.0,36,796.4601769911505,2018-05-03,5,2,3
1492,71,4350000,29,3,3,4.04,150000.0,26,717.8217821782179,2018-05-03,5,2,3
1492,352,3450000,29,0,6,2.75,118965.5172413793,29,1054.5454545454545,2018-05-03,5,2,3
1492,51,2700000,31,0,3,1.78,87096.7741935484,31,1741.5730337078653,2018-05-03,5,2,3
1492,448,2700000,18,0,2,9.68,150000.0,18,185.9504132231405,2018-05-03,5,2,3
1492,429,2200000,22,0,1,20.18,100000.0,22,109.01883052527255,2018-05-03,5,2,3
1492,522,1650000,11,0,3,4.26,150000.0,11,258.21596244131456,2018-05-03,5,2,3
1492,524,1500000,10,0,3,11.11,150000.0,10,90.00900090009,2018-05-03,5,2,3
1492,43,1280000,16,0,3,1.17,80000.0,16,1367.5213675213677,2018-05-03,5,2,3
1492,450,900000,6,0,2,2.83,150000.0,6,212.01413427561837,2018-05-03,5,2,3
1492,485,600000,4,0,3,2.9,150000.0,4,137.93103448275863,2018-05-03,5,2,3
1492,82,320000,4,0,6,0.42,80000.0,4,952.3809523809524,2018-05-03,5,2,3
1492,489,300000,2,0,3,1.67,150000.0,2,119.76047904191618,2018-05-03,5,2,3
1492,518,300000,5,0,3,3.03,60000.0,5,165.01650165016503,2018-05-03,5,2,3
1492,304,12600000,84,0,4,13.75,150000.0,84,610.909090909091,2018-05-02,5,2,2
1492,71,8100000,54,0,3,7.53,150000.0,54,717.1314741035857,2018-05-02,5,2,2
1492,448,4350000,29,0,2,7.92,150000.0,29,366.16161616161617,2018-05-02,5,2,2
1492,163,4080000,35,0,4,21.21,116571.42857142857,35,165.01650165016503,2018-05-02,5,2,2
1492,489,3080000,21,0,3,17.5,146666.66666666666,21,120.0,2018-05-02,5,2,2
1492,344,3000000,21,0,3,2.64,142857.14285714287,21,795.4545454545454,2018-05-02,5,2,2
1492,51,2800000,32,0,3,1.84,87500.0,32,1739.1304347826085,2018-05-02,5,2,2
1492,450,2700000,20,0,3,6.29,135000.0,20,317.9650238473768,2018-05-02,5,2,2
1492,485,2100000,14,0,3,10.14,150000.0,14,138.0670611439842,2018-05-02,5,2,2
1492,522,1950000,13,0,3,5.04,150000.0,13,257.93650793650795,2018-05-02,5,2,2
1492,429,1800000,18,0,3,4.26,100000.0,18,422.5352112676057,2018-05-02,5,2,2
1492,524,900000,6,0,3,3.92,150000.0,6,153.0612244897959,2018-05-02,5,2,2
1492,431,720000,6,0,2,11.54,120000.0,6,51.99306759098788,2018-05-02,5,2,2
1492,43,640000,8,0,4,0.78,80000.0,8,1025.6410256410256,2018-05-02,5,2,2
1492,72,240000,2,0,1,1.98,120000.0,2,101.01010101010101,2018-05-02,5,2,2
1492,82,240000,3,0,6,0.32,80000.0,3,937.5,2018-05-02,5,2,2
1492,304,3750000,29,0,3,6.58,129310.3448275862,29,440.7294832826747,2018-05-06,5,2,6
1492,344,2850000,19,0,3,3.4,150000.0,19,558.8235294117648,2018-05-06,5,2,6
1492,71,2850000,19,0,3,2.65,150000.0,19,716.9811320754717,2018-05-06,5,2,6
1492,144,2480000,31,0,6,1.34,80000.0,31,2313.4328358208954,2018-05-06,5,2,6
1492,51,1850000,22,0,2,1.89,84090.90909090909,22,1164.0211640211642,2018-05-06,5,2,6
1492,485,1650000,11,0,3,7.97,150000.0,11,138.01756587202007,2018-05-06,5,2,6
1492,522,1650000,11,0,3,4.26,150000.0,11,258.21596244131456,2018-05-06,5,2,6
1492,450,1350000,9,0,3,2.83,150000.0,9,318.02120141342755,2018-05-06,5,2,6
1492,352,1350000,9,0,6,1.44,150000.0,9,625.0,2018-05-06,5,2,6
1492,448,1200000,8,0,1,4.21,150000.0,8,190.02375296912115,2018-05-06,5,2,6
1492,82,640000,8,0,6,0.84,80000.0,8,952.3809523809524,2018-05-06,5,2,6
1492,163,600000,6,0,3,4.62,100000.0,6,129.87012987012986,2018-05-06,5,2,6
1492,73,360000,3,0,1,3.06,120000.0,3,98.0392156862745,2018-05-06,5,2,6
1492,429,300000,3,0,1,2.75,100000.0,3,109.09090909090908,2018-05-06,5,2,6
1492,456,300000,5,0,2,2.56,60000.0,5,195.3125,2018-05-06,5,2,6
1492,489,300000,2,0,4,1.25,150000.0,2,160.0,2018-05-06,5,2,6
1492,518,240000,2,0,3,1.21,120000.0,2,165.28925619834712,2018-05-06,5,2,6
1492,43,240000,3,0,3,0.22,80000.0,3,1363.6363636363637,2018-05-06,5,2,6
1492,238,420000,7,0,3,1.13,60000.0,7,619.4690265486727,2018-08-04,8,3,4
1492,238,900000,15,0,3,2.43,60000.0,15,617.283950617284,2018-08-03,8,3,3
1492,312,640000,8,0,1,12.5,80000.0,8,64.0,2018-08-03,8,3,3
1492,238,420000,7,0,3,1.13,60000.0,7,619.4690265486727,2018-08-02,8,3,2
1492,238,480000,8,0,3,1.29,60000.0,8,620.1550387596899,2018-08-01,8,3,1
1492,238,540000,18,0,3,2.91,30000.0,18,618.5567010309278,2018-07-31,7,3,31
1492,238,600000,10,0,3,1.62,60000.0,10,617.283950617284,2018-07-30,7,3,30
1492,168,320000,4,0,3,1.71,80000.0,4,233.91812865497076,2018-07-30,7,3,30
1492,238,660000,11,0,3,1.78,60000.0,11,617.9775280898876,2018-07-29,7,3,29
1492,238,480000,8,0,3,1.29,60000.0,8,620.1550387596899,2018-07-28,7,3,28
1492,168,240000,3,0,3,1.28,80000.0,3,234.375,2018-07-28,7,3,28
1492,238,1320000,22,0,3,3.56,60000.0,22,617.9775280898876,2018-07-27,7,3,27
1492,238,900000,15,0,3,2.43,60000.0,15,617.283950617284,2018-07-26,7,3,26
1492,238,840000,14,0,3,2.27,60000.0,14,616.7400881057268,2018-07-25,7,3,25
1492,238,1410000,47,0,3,7.61,30000.0,47,617.6084099868593,2018-07-24,7,3,24
1492,238,900000,15,0,3,2.43,60000.0,15,617.283950617284,2018-07-23,7,3,23
1492,168,320000,4,0,3,1.71,80000.0,4,233.91812865497076,2018-07-23,7,3,23
1492,238,1200000,20,0,3,3.24,60000.0,20,617.283950617284,2018-07-22,7,3,22
1492,168,400000,5,0,3,2.14,80000.0,5,233.6448598130841,2018-07-22,7,3,22
1492,168,320000,4,0,3,1.71,80000.0,4,233.91812865497076,2018-07-20,7,3,20
1492,352,800000,10,0,1,5.68,80000.0,10,176.05633802816902,2018-07-19,7,3,19
1492,489,750000,5,0,1,20.0,150000.0,5,25.0,2018-07-19,7,3,19
1492,168,400000,5,0,3,2.14,80000.0,5,233.6448598130841,2018-07-19,7,3,19
1492,489,1200000,8,0,1,32.0,150000.0,8,25.0,2018-07-18,7,3,18
1492,489,2640000,33,0,1,82.5,80000.0,33,40.0,2018-07-17,7,3,17
1492,168,500000,10,0,3,4.27,50000.0,10,234.19203747072604,2018-07-17,7,3,17
1492,254,210000,6,0,2,1.21,35000.0,6,495.86776859504135,2018-07-17,7,3,17
1492,214,125000,5,0,1,3.47,25000.0,5,144.0922190201729,2018-07-17,7,3,17
1492,168,320000,4,0,3,1.71,80000.0,4,233.91812865497076,2018-07-16,7,3,16
1492,254,280000,4,0,2,0.81,70000.0,4,493.82716049382714,2018-07-16,7,3,16
1492,214,250000,5,0,4,0.87,50000.0,5,574.7126436781609,2018-07-16,7,3,16
1492,312,320000,4,0,1,6.25,80000.0,4,64.0,2018-08-12,8,3,12
1492,489,1500000,10,0,1,25.0,150000.0,10,40.0,2018-07-15,7,3,15
1492,168,480000,6,0,3,2.56,80000.0,6,234.375,2018-07-15,7,3,15
1492,254,140000,2,0,2,0.4,70000.0,2,500.0,2018-07-15,7,3,15
1492,489,2000000,25,0,1,62.5,80000.0,25,40.0,2018-07-14,7,3,14
1492,168,320000,4,0,3,1.71,80000.0,4,233.91812865497076,2018-07-14,7,3,14
1492,214,300000,12,0,4,2.08,25000.0,12,576.9230769230769,2018-07-14,7,3,14
1492,254,140000,2,0,2,0.4,70000.0,2,500.0,2018-07-14,7,3,14
1492,168,320000,4,0,3,1.71,80000.0,4,233.91812865497076,2018-07-13,7,3,13
1492,254,210000,3,0,2,0.61,70000.0,3,491.8032786885246,2018-07-13,7,3,13
1492,214,150000,3,0,4,0.52,50000.0,3,576.9230769230769,2018-07-13,7,3,13
1492,489,2850000,19,0,1,76.0,150000.0,19,25.0,2018-07-12,7,3,12
1492,168,320000,4,0,3,1.71,80000.0,4,233.91812865497076,2018-07-12,7,3,12
1492,254,140000,2,0,2,0.4,70000.0,2,500.0,2018-07-12,7,3,12
1492,168,480000,6,0,3,2.56,80000.0,6,234.375,2018-07-11,7,3,11
1492,214,150000,3,0,4,0.52,50000.0,3,576.9230769230769,2018-07-11,7,3,11
1492,254,140000,2,0,2,0.4,70000.0,2,500.0,2018-07-11,7,3,11
1492,489,3040000,38,0,3,50.67,80000.0,38,74.99506611407143,2018-07-10,7,3,10
1492,352,1040000,13,0,1,12.5,80000.0,13,104.0,2018-07-10,7,3,10
1492,168,500000,10,0,3,4.27,50000.0,10,234.19203747072604,2018-07-10,7,3,10
1492,254,385000,11,0,2,2.23,35000.0,11,493.27354260089686,2018-07-10,7,3,10
1492,214,150000,6,0,3,1.39,25000.0,6,431.6546762589929,2018-07-10,7,3,10
1492,489,600000,4,0,2,8.0,150000.0,4,50.0,2018-07-08,7,3,8
1492,254,420000,6,0,2,1.21,70000.0,6,495.86776859504135,2018-07-08,7,3,8
1492,254,1680000,24,0,6,1.62,70000.0,24,1481.4814814814813,2018-07-07,7,3,7
1492,489,1680000,21,0,3,28.0,80000.0,21,75.0,2018-07-07,7,3,7
