"시점","항공사별(1)","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"2017.01","아시아나항공","계",12278,2150562,83765
"2017.01","아시아나항공","도착",6141,1071932,41237
"2017.01","아시아나항공","출발",6137,1078630,42528
"2017.01","에어부산","계",5551,917653,10293
"2017.01","에어부산","도착",2777,458649,6799
"2017.01","에어부산","출발",2774,459004,3495
"2017.01","에어인천","계",86,0,597
"2017.01","에어인천","도착",43,0,120
"2017.01","에어인천","출발",43,0,476
"2017.01","에어서울","계",415,61421,604
"2017.01","에어서울","도착",207,29964,311
"2017.01","에어서울","출발",208,31457,293
"2017.01","제주항공","계",6662,1169280,8535
"2017.01","제주항공","도착",3331,580057,4380
"2017.01","제주항공","출발",3331,589223,4155
"2017.01","진에어","계",5212,991637,10076
"2017.01","진에어","도착",2607,493823,5176
"2017.01","진에어","출발",2605,497814,4901
"2017.01","대한항공","계",18161,3003143,151099
"2017.01","대한항공","도착",9086,1488895,74232
"2017.01","대한항공","출발",9075,1514248,76866
"2017.01","티웨이항공","계",4349,764800,4916
"2017.01","티웨이항공","도착",2175,381090,2503
"2017.01","티웨이항공","출발",2174,383710,2413
"2017.01","이스타항공","계",4264,692397,4122
"2017.01","이스타항공","도착",2132,344752,2082
"2017.01","이스타항공","출발",2132,347645,2040
"2017.01","외항사","계",14353,2367631,101566
"2017.01","외항사","도착",7180,1171342,47720
"2017.01","외항사","출발",7173,1196289,53846
"2017.02","아시아나항공","계",11078,1961918,76670
"2017.02","아시아나항공","도착",5539,982106,38000
"2017.02","아시아나항공","출발",5539,979812,38670
"2017.02","에어부산","계",5078,863651,9738
"2017.02","에어부산","도착",2540,432111,6564
"2017.02","에어부산","출발",2538,431540,3173
"2017.02","에어인천","계",58,0,356
"2017.02","에어인천","도착",29,0,109
"2017.02","에어인천","출발",29,0,247
"2017.02","에어서울","계",368,59508,593
"2017.02","에어서울","도착",184,29501,314
"2017.02","에어서울","출발",184,30007,279
"2017.02","제주항공","계",6111,1098664,7979
"2017.02","제주항공","도착",3055,549107,4187
"2017.02","제주항공","출발",3056,549557,3792
"2017.02","진에어","계",4700,909486,9525
"2017.02","진에어","도착",2350,457155,4960
"2017.02","진에어","출발",2350,452331,4565
"2017.02","대한항공","계",16305,2764226,141435
"2017.02","대한항공","도착",8149,1388796,69805
"2017.02","대한항공","출발",8156,1375430,71630
"2017.02","티웨이항공","계",3980,714279,4590
"2017.02","티웨이항공","도착",1990,357863,2376
"2017.02","티웨이항공","출발",1990,356416,2213
"2017.02","이스타항공","계",3870,646385,3848
"2017.02","이스타항공","도착",1935,323703,1981
"2017.02","이스타항공","출발",1935,322682,1866
"2017.02","외항사","계",12884,2214863,97359
"2017.02","외항사","도착",6442,1109057,46162
"2017.02","외항사","출발",6442,1105806,51196
"2017.03","아시아나항공","계",12491,1933284,85808
"2017.03","아시아나항공","도착",6243,974474,42938
"2017.03","아시아나항공","출발",6248,958810,42869
"2017.03","에어부산","계",5513,845065,9345
"2017.03","에어부산","도착",2756,424925,6346
"2017.03","에어부산","출발",2757,420140,2999
"2017.03","에어인천","계",68,0,356
"2017.03","에어인천","도착",34,0,95
"2017.03","에어인천","출발",34,0,261
"2017.03","에어서울","계",404,57694,580
"2017.03","에어서울","도착",202,28730,306
"2017.03","에어서울","출발",202,28964,274
"2017.03","제주항공","계",6883,1205789,8177
"2017.03","제주항공","도착",3443,606673,4284
"2017.03","제주항공","출발",3440,599116,3893
"2017.03","진에어","계",5014,960649,10205
"2017.03","진에어","도착",2510,484010,5292
"2017.03","진에어","출발",2504,476639,4913
"2017.03","대한항공","계",18057,2731855,164590
"2017.03","대한항공","도착",9025,1382215,81869
"2017.03","대한항공","출발",9032,1349640,82721
"2017.03","티웨이항공","계",4213,702499,4103
"2017.03","티웨이항공","도착",2107,353147,2118
"2017.03","티웨이항공","출발",2106,349352,1985
"2017.03","이스타항공","계",4232,664011,3705
"2017.03","이스타항공","도착",2116,333133,1934
"2017.03","이스타항공","출발",2116,330878,1770
"2017.03","외항사","계",13365,1977451,113109
"2017.03","외항사","도착",6682,1019224,53974
"2017.03","외항사","출발",6683,958227,59135
"2017.04","아시아나항공","계",12111,2055706,80536
"2017.04","아시아나항공","도착",6056,1016803,39992
"2017.04","아시아나항공","출발",6055,1038903,40544
"2017.04","에어부산","계",5433,887492,6057
"2017.04","에어부산","도착",2714,441419,3046
"2017.04","에어부산","출발",2719,446073,3011
"2017.04","에어인천","계",54,0,303
"2017.04","에어인천","도착",27,0,86
"2017.04","에어인천","출발",27,0,217
"2017.04","에어서울","계",419,55799,592
"2017.04","에어서울","도착",210,27439,309
"2017.04","에어서울","출발",209,28360,283
"2017.04","제주항공","계",6940,1228046,8200
"2017.04","제주항공","도착",3469,608958,4226
"2017.04","제주항공","출발",3471,619088,3974
"2017.04","진에어","계",5152,1130074,11219
"2017.04","진에어","도착",2575,562968,5690
"2017.04","진에어","출발",2577,567106,5529
"2017.04","대한항공","계",17655,2993633,152702
"2017.04","대한항공","도착",8823,1482726,75476
"2017.04","대한항공","출발",8832,1510907,77226
"2017.04","티웨이항공","계",4295,736446,4395
"2017.04","티웨이항공","도착",2147,366042,2240
"2017.04","티웨이항공","출발",2148,370404,2155
"2017.04","이스타항공","계",4453,730754,4056
"2017.04","이스타항공","도착",2227,364108,2098
"2017.04","이스타항공","출발",2226,366646,1958
"2017.04","외항사","계",11958,1877019,108382
"2017.04","외항사","도착",5978,907194,51114
"2017.04","외항사","출발",5980,969825,57268
"2017.05","아시아나항공","계",12358,2078206,78725
"2017.05","아시아나항공","도착",6179,1051163,39822
"2017.05","아시아나항공","출발",6179,1027043,38903
"2017.05","에어부산","계",5790,943755,6094
"2017.05","에어부산","도착",2894,473241,3124
"2017.05","에어부산","출발",2896,470514,2971
"2017.05","에어인천","계",56,0,319
"2017.05","에어인천","도착",28,0,75
"2017.05","에어인천","출발",28,0,244
"2017.05","에어서울","계",432,50228,510
"2017.05","에어서울","도착",216,25402,275
"2017.05","에어서울","출발",216,24826,234
"2017.05","제주항공","계",7459,1298005,8358
"2017.05","제주항공","도착",3730,650164,4394
"2017.05","제주항공","출발",3729,647841,3963
"2017.05","진에어","계",5555,1122634,10257
"2017.05","진에어","도착",2778,564113,5268
"2017.05","진에어","출발",2777,558521,4989
"2017.05","대한항공","계",18354,2981116,150000
"2017.05","대한항공","도착",9181,1512261,75300
"2017.05","대한항공","출발",9173,1468855,74701
"2017.05","티웨이항공","계",4515,748088,4562
"2017.05","티웨이항공","도착",2257,375062,2327
"2017.05","티웨이항공","출발",2258,373026,2235
"2017.05","이스타항공","계",4612,707712,3856
"2017.05","이스타항공","도착",2306,355450,2031
"2017.05","이스타항공","출발",2306,352262,1825
"2017.05","외항사","계",12380,1881367,104816
"2017.05","외항사","도착",6191,962579,51123
"2017.05","외항사","출발",6189,918788,53693
"2017.06","아시아나항공","계",12080,2178997,79462
"2017.06","아시아나항공","도착",6041,1091320,40597
"2017.06","아시아나항공","출발",6039,1087677,38865
"2017.06","에어부산","계",5718,957895,6158
"2017.06","에어부산","도착",2861,478123,3160
"2017.06","에어부산","출발",2857,479772,2997
"2017.06","에어인천","계",65,0,352
"2017.06","에어인천","도착",32,0,74
"2017.06","에어인천","출발",33,0,278
"2017.06","에어서울","계",409,54638,555
"2017.06","에어서울","도착",204,26563,290
"2017.06","에어서울","출발",205,28075,265
"2017.06","제주항공","계",7115,1265289,8057
"2017.06","제주항공","도착",3557,629085,4167
"2017.06","제주항공","출발",3558,636204,3890
"2017.06","진에어","계",5348,1049111,9452
"2017.06","진에어","도착",2675,522434,4836
"2017.06","진에어","출발",2673,526677,4616
"2017.06","대한항공","계",17996,2983804,151209
"2017.06","대한항공","도착",8997,1497553,76155
"2017.06","대한항공","출발",8999,1486251,75053
"2017.06","티웨이항공","계",4368,755124,4613
"2017.06","티웨이항공","도착",2185,375641,2350
"2017.06","티웨이항공","출발",2183,379483,2262
"2017.06","이스타항공","계",4428,713134,3771
"2017.06","이스타항공","도착",2213,354065,1953
"2017.06","이스타항공","출발",2215,359069,1818
"2017.06","외항사","계",12147,1871434,106222
"2017.06","외항사","도착",6077,929589,51513
"2017.06","외항사","출발",6070,941845,54709
"2017.07","아시아나항공","계",12579,2262990,83454
"2017.07","아시아나항공","도착",6290,1124481,42312
"2017.07","아시아나항공","출발",6289,1138509,41142
"2017.07","에어부산","계",5929,960736,6422
"2017.07","에어부산","도착",2961,477964,3290
"2017.07","에어부산","출발",2968,482772,3131
"2017.07","에어인천","계",54,0,311
"2017.07","에어인천","도착",27,0,93
"2017.07","에어인천","출발",27,0,218
"2017.07","에어서울","계",427,55797,560
"2017.07","에어서울","도착",214,27209,286
"2017.07","에어서울","출발",213,28588,273
"2017.07","제주항공","계",7496,1333655,8937
"2017.07","제주항공","도착",3747,661205,4609
"2017.07","제주항공","출발",3749,672450,4328
"2017.07","진에어","계",5642,1078663,9638
"2017.07","진에어","도착",2817,533735,4803
"2017.07","진에어","출발",2825,544928,4836
"2017.07","대한항공","계",18669,2994831,158631
"2017.07","대한항공","도착",9336,1479724,79175
"2017.07","대한항공","출발",9333,1515107,79457
"2017.07","티웨이항공","계",4727,808587,5176
"2017.07","티웨이항공","도착",2361,400233,2668
"2017.07","티웨이항공","출발",2366,408354,2507
"2017.07","이스타항공","계",4556,756096,4559
"2017.07","이스타항공","도착",2277,375168,2379
"2017.07","이스타항공","출발",2279,380928,2180
"2017.07","외항사","계",13179,2030840,107271
"2017.07","외항사","도착",6596,983658,52312
"2017.07","외항사","출발",6583,1047182,54959
"2017.08","아시아나항공","계",12659,2395346,84171
"2017.08","아시아나항공","도착",6326,1209697,42270
"2017.08","아시아나항공","출발",6333,1185649,41901
"2017.08","에어부산","계",5952,1010808,7000
"2017.08","에어부산","도착",2977,508999,3654
"2017.08","에어부산","출발",2975,501809,3346
"2017.08","에어인천","계",80,0,546
"2017.08","에어인천","도착",40,0,113
"2017.08","에어인천","출발",40,0,433
"2017.08","에어서울","계",422,59212,608
"2017.08","에어서울","도착",211,30547,330
"2017.08","에어서울","출발",211,28665,279
"2017.08","제주항공","계",7526,1360263,9718
"2017.08","제주항공","도착",3764,684971,5110
"2017.08","제주항공","출발",3762,675292,4609
"2017.08","진에어","계",5836,1128326,9645
"2017.08","진에어","도착",2920,570714,4867
"2017.08","진에어","출발",2916,557612,4777
"2017.08","대한항공","계",18716,3270308,162036
"2017.08","대한항공","도착",9356,1656932,80330
"2017.08","대한항공","출발",9360,1613376,81706
"2017.08","티웨이항공","계",4876,853410,5605
"2017.08","티웨이항공","도착",2440,430154,2950
"2017.08","티웨이항공","출발",2436,423256,2655
"2017.08","이스타항공","계",4717,804380,4998
"2017.08","이스타항공","도착",2359,405447,2640
"2017.08","이스타항공","출발",2358,398933,2358
"2017.08","외항사","계",13308,2152521,105575
"2017.08","외항사","도착",6655,1110487,51328
"2017.08","외항사","출발",6653,1042034,54246
"2017.09","아시아나항공","계",12088,2176737,86703
"2017.09","아시아나항공","도착",6044,1071731,42808
"2017.09","아시아나항공","출발",6044,1105006,43895
"2017.09","에어부산","계",5819,948885,6650
"2017.09","에어부산","도착",2908,471263,3373
"2017.09","에어부산","출발",2911,477622,3277
"2017.09","에어인천","계",114,0,846
"2017.09","에어인천","도착",57,0,211
"2017.09","에어인천","출발",57,0,635
"2017.09","에어서울","계",493,67609,656
"2017.09","에어서울","도착",246,31771,331
"2017.09","에어서울","출발",247,35838,325
"2017.09","제주항공","계",7442,1332785,8873
"2017.09","제주항공","도착",3719,662047,4576
"2017.09","제주항공","출발",3723,670738,4297
"2017.09","진에어","계",5467,1089440,11796
"2017.09","진에어","도착",2732,542074,5874
"2017.09","진에어","출발",2735,547366,5923
"2017.09","대한항공","계",17988,2925779,161153
"2017.09","대한항공","도착",8994,1434149,79080
"2017.09","대한항공","출발",8994,1491630,82072
"2017.09","티웨이항공","계",4646,780052,4914
"2017.09","티웨이항공","도착",2321,386604,2494
"2017.09","티웨이항공","출발",2325,393448,2420
"2017.09","이스타항공","계",4539,746595,4099
"2017.09","이스타항공","도착",2269,370725,2124
"2017.09","이스타항공","출발",2270,375870,1975
"2017.09","외항사","계",12774,1912573,111582
"2017.09","외항사","도착",6383,926143,51673
"2017.09","외항사","출발",6391,986430,59909
"2017.10","아시아나항공","계",12402,2237140,86885
"2017.10","아시아나항공","도착",6204,1140028,43534
"2017.10","아시아나항공","출발",6198,1097112,43351
"2017.10","에어부산","계",6007,990800,7024
"2017.10","에어부산","도착",3008,499393,3651
"2017.10","에어부산","출발",2999,491407,3373
"2017.10","에어인천","계",94,0,772
"2017.10","에어인천","도착",47,0,195
"2017.10","에어인천","출발",47,0,576
"2017.10","에어서울","계",600,86322,870
"2017.10","에어서울","도착",299,43377,484
"2017.10","에어서울","출발",301,42945,386
"2017.10","제주항공","계",7857,1376072,9512
"2017.10","제주항공","도착",3931,695852,5027
"2017.10","제주항공","출발",3926,680220,4485
"2017.10","진에어","계",5703,1093068,10670
"2017.10","진에어","도착",2853,553199,5372
"2017.10","진에어","출발",2850,539869,5298
"2017.10","대한항공","계",18579,3023017,157998
"2017.10","대한항공","도착",9297,1547290,77641
"2017.10","대한항공","출발",9282,1475727,80357
"2017.10","티웨이항공","계",4862,800017,5294
"2017.10","티웨이항공","도착",2433,403174,2744
"2017.10","티웨이항공","출발",2429,396843,2550
"2017.10","이스타항공","계",4436,715472,4298
"2017.10","이스타항공","도착",2217,360977,2277
"2017.10","이스타항공","출발",2219,354495,2021
"2017.10","외항사","계",13564,2106180,106943
"2017.10","외항사","도착",6786,1109737,50497
"2017.10","외항사","출발",6778,996443,56446
"2017.11","아시아나항공","계",11223,2110220,88644
"2017.11","아시아나항공","도착",5609,1050311,43446
"2017.11","아시아나항공","출발",5614,1059909,45198
"2017.11","에어부산","계",5756,977963,6937
"2017.11","에어부산","도착",2875,487494,3555
"2017.11","에어부산","출발",2881,490469,3382
"2017.11","에어인천","계",112,0,1075
"2017.11","에어인천","도착",56,0,343
"2017.11","에어인천","출발",56,0,732
"2017.11","에어서울","계",692,106612,1040
"2017.11","에어서울","도착",346,52428,552
"2017.11","에어서울","출발",346,54184,488
"2017.11","제주항공","계",7272,1299520,8885
"2017.11","제주항공","도착",3635,646505,4567
"2017.11","제주항공","출발",3637,653015,4318
"2017.11","진에어","계",5091,964013,9647
"2017.11","진에어","도착",2544,480260,4689
"2017.11","진에어","출발",2547,483753,4958
"2017.11","대한항공","계",17571,2820166,164845
"2017.11","대한항공","도착",8781,1407373,80781
"2017.11","대한항공","출발",8790,1412793,84064
"2017.11","티웨이항공","계",4648,808165,5146
"2017.11","티웨이항공","도착",2323,402524,2623
"2017.11","티웨이항공","출발",2325,405641,2523
"2017.11","이스타항공","계",4234,733624,4243
"2017.11","이스타항공","도착",2117,364317,2195
"2017.11","이스타항공","출발",2117,369307,2049
"2017.11","외항사","계",12849,1979189,112974
"2017.11","외항사","도착",6424,980461,52068
"2017.11","외항사","출발",6425,998728,60906
"2017.12","아시아나항공","계",11264,2064840,88358
"2017.12","아시아나항공","도착",5635,1034701,44366
"2017.12","아시아나항공","출발",5629,1030139,43992
"2017.12","에어부산","계",6552,1058763,7329
"2017.12","에어부산","도착",3275,528593,3786
"2017.12","에어부산","출발",3277,530170,3543
"2017.12","에어인천","계",101,0,843
"2017.12","에어인천","도착",50,0,149
"2017.12","에어인천","출발",51,0,694
"2017.12","에어서울","계",756,112068,1092
"2017.12","에어서울","도착",378,56656,593
"2017.12","에어서울","출발",378,55412,499
"2017.12","제주항공","계",7616,1351073,9529
"2017.12","제주항공","도착",3807,672144,4941
"2017.12","제주항공","출발",3809,678929,4587
"2017.12","진에어","계",5364,994691,9862
"2017.12","진에어","도착",2679,495744,4947
"2017.12","진에어","출발",2685,498947,4915
"2017.12","대한항공","계",18027,2795957,163628
