영양소,연령대,성별,임신여부,수유여부,권장섭취량,충분섭취량,상한섭취량,단위,출처,기관,비고,출처_URL
비타민 A,19~29세,남성,해당없음,해당없음,900,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 A,19~29세,여성,해당없음,해당없음,700,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 A,30~49세,남성,해당없음,해당없음,900,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 A,30~49세,여성,해당없음,해당없음,700,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 A,50~64세,남성,해당없음,해당없음,900,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 A,50~64세,여성,해당없음,해당없음,700,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 A,65세 이상,남성,해당없음,해당없음,900,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 A,65세 이상,여성,해당없음,해당없음,700,,3000,μg RAE,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,19~29세,남성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,19~29세,여성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,30~49세,남성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,30~49세,여성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,50~64세,남성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,50~64세,여성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,65세 이상,남성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 C,65세 이상,여성,해당없음,해당없음,100,,2000,mg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,성인 기준 예시,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,19~29세,남성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,19~29세,여성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,30~49세,남성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,30~49세,여성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,50~64세,남성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,50~64세,여성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,65세 이상,남성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
비타민 D,65세 이상,여성,해당없음,해당없음,,10,100,μg,2025 한국인 영양소 섭취기준(KDRIs),보건복지부·한국영양학회,충분섭취량 기준,https://www.mohw.go.kr/board.es?mid=a10411010100&bid=0019&tag=&act=view&list_no=370012
