상품ID,상품명,업소명,카테고리,검색키워드(주요원료),관련_증상,신고번호,등록일자,소비기한,성상,섭취량_섭취방법,섭취시주의사항,기능성_내용,신고번호_상세조회URL,데이터출처
P001,뉴메릿 비타민C&D 메가,(주)푸드어셈블,비타민,비타민 C,피로,2025001237116,2026-07-08,제조일로부터 24개월,"고유의 향미가 있고 이미, 이취가 없는 하양색의 입자성이 없는 분말","1일1회 , 1회 1포(2.1g)를 물과 함께 섭취하십시오",1. 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것 / 2. 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / 3. 과량 섭취하지 않도록 주의할 것 / 4. 신장질환이 있는 경우 섭취 전 전문가와 상담할 것,[비타민C] / (1) 결합조직 형성과 기능유지에 필요 / (2) 철의 흡수에 필요 / (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 / [비타민D] / (1) 칼슘과 인이 흡수되고 이용되는데 필요 / (2) 뼈의 형성과 유지에 필요 / (3) 골다공증발생 위험 감소에 도움을 줌,https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000266838,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P002,뉴메릿 비타민C&D 듀얼 메가,(주)푸드어셈블,비타민,비타민 C,피로,2025001237117,2026-07-08,제조일로부터 24개월,"고유의 향미가 있고 이미, 이취가 없는 하양색 분말","1일 1회 , 1회 1포(3.2g)를 물과 함께 섭취하십시오.",➀ 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것 / ➁ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / ➂ 과량 섭취하지 않도록 주의할 것 / ➃ 신장질환이 있는 경우 섭취 전 전문가와 상담할 것,[비타민C] / (1) 결합조직 형성과 기능유지에 필요 / (2) 철의 흡수에 필요 / (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 / [비타민D] / (1) 칼슘과 인이 흡수되고 이용되는데 필요 / (2) 뼈의 형성과 유지에 필요 / (3) 골다공증발생 위험 감소에 도움을 줌,https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000266839,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P003,마이니 뼈건강 칼슘 마그네슘 비타민D,주식회사 노바렉스,비타민,비타민 D,골 건강,200400200083446,2026-07-09,제조일로부터 24개월,고유의 향미가 있고 이미·이취가 없는 점박이를 포함한 흰색의 흰색 장방형 제피 정제,"1일 1회, 1회 1정을 물과 함께 섭취하십시오.","특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다. / 제품 개봉 또는 섭취 시 포장재에 의해 다칠 우려가 있으니 주의하시기 바랍니다. / 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / [비타민 D] 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것","[칼슘] 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌 / [마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요 / [비타민 D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌",https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000269145,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P004,이지맘 비타민D,(주)비오팜2공장,비타민,비타민 D,골 건강,2024002023371,2026-07-08,제조일로부터 24개월,"고유의 향미가 있고 이미, 이취가 없는 연한 노랑색의 내용물을 함유한 투명한 타원형 연질캡슐","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",- 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것 / - 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / /,[비타민D] (가) 칼슘과 인이 흡수되고 이용되는데 필요 (나) 뼈의 형성과 유지에 필요 (다)골다공증발생 위험 감소에 도움을 줌 / [비타민E] (가) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요,https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000267074,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P005,오메가 비타민E 미니,코스맥스바이오(주),비타민,비타민 E,노화,200400200024068,2026-05-08,제조일로부터 2년,"고유의 향미가 있고 이미, 이취가 없는 연한 노란색의 내용물을 함유한 투명한 타원형 연질캡슐","1일 2회, 1회 5캡슐을 충분한 물과 함께 섭취하십시오. 1일 1회, 1회 10캡슐을 충분한 물과 함께 섭취하십시오.","섭취 시 목에 걸릴 수 있으므로 반드시 물과 함께 섭취하십시오. / 섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오. / 개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오. / 섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오. / 특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오. / 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담하십시오. / 개인에 따라 피부 관련 이상반응이 발생할 수 있습니다. / 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.",1) EPA 및 DHA 함유 유지 : 혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음. / 2) 비타민E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요.,https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000178483,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P006,백수원 비타민E 프리미엄,(주)유니쎌팜,비타민,비타민 E,노화,20040020028848,2026-04-10,제조일로부터 24개월,"고유의 향미가 있고 이미, 이취가 없는 연노랑색의 내용물을 함유한 투명한 타원형 연질캡슐","1일 2회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",,항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요,https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000140382,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P007,VIKPRO 루테인 연질캡슐 VIKPRO Lutein soft capsule,코스맥스엔비티(주),기능성 원료,루테인,눈 피로,200700170353237,2026-07-09,제조일로부터 24개월,"고유의 향미가 있고 이미, 이취가 없는 어두운 회적색의 내용물을 함유한 노란갈색의 타원형 연질캡슐","1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.","[비타민 B12] / 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / / [비타민 C] / 과량 섭취하지 않도록 주의할 것 / 신장질환이 있는 경우 섭취 전 전문가와 상담할 것 / 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / / [마리골드꽃추출물] / 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 / 흡연자는 섭취 시 전문가와 상담할 것 / 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음 / 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",[비타민 A] / 어두운 곳에서 시각 적응을 위해 필요 / 피부와 점막을 형성하고 기능을 유지하는데 필요 / 상피세포의 성장과 발달에 필요 / / [비타민 E] / 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 / / [비타민 B12] / 정상적인 엽산 대사에 필요 / / [비타민 C] / 결합조직 형성과 기능유지에 필요 / 철의 흡수에 필요 / 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 / / [아연] / 정상적인 면역기능에 필요 / 정상적인 세포분열에 필요 / / [셀레늄(또는 셀렌)] / 유해산소로부터 세포를 보호하는데 필요 / / [마리골드꽃추출물] / 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음,https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000269389,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P008,튼튼닷컴 루테인지아잔틴 아스타잔틴,주식회사 노바렉스2공장,기능성 원료,루테인,눈 피로,200600200081447,2026-07-08,제조일로부터 24개월,고유의 향미가 있고 이미·이취가 없는 진한 적갈색의 점도가 있는 내용물을 함유한 빨강의 타원형 연질캡슐,"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.","특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다. / 제품 개봉 또는 섭취 시 포장재에 의해 다칠 우려가 있으니 주의하시기 바랍니다. / 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 / [마리골드꽃추출물(지아잔틴함유)(제2025-7호)] / 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 / 흡연자는 섭취 시 전문가와 상담할 것 / 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음 / [헤마토코쿠스 추출물] / 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음 / β-카로틴의 흡수를 저해할 수 있음 / [베타카로틴] 흡연자는 섭취 시 전문가와 상담할 것","[마리골드꽃추출물(지아잔틴함유)(제2025-7호)] 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음 / [헤마토코쿠스 추출물] 눈의 피로도 개선에 도움을 줄 수 있음 / [아연] 정상적인 면역기능에 필요, 정상적인 세포분열에 필요 / [비타민 E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 / [베타카로틴] 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장과 발달에 필요 / [비타민 A] 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장과 발달에 필요",https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000267089,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P009,오메도스 오메가3 EPA DHA 1500 초임계 알티지,(주)한풍네이처팜,기능성 원료,오메가3(EPA/DHA),혈액순환,201200190071261,2026-07-10,제조일로부터 36개월까지,"고유의 향미가 있고 이미, 이취가 없으며 노란 하얀색의 내용물이 함유된 투명한 장방형 연질캡슐","1일 1회, 1회 2캡슐을 물과 함께 섭취하십시오.","특이체질, 알레르기 체질의 경우에는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인한 후 섭취하십시오. / 소비기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다. / 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담하십시오. / 개인에 따라 피부 관련 이상반응이 발생할 수 있습니다. / 이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오","[EPA 및 DHA 함유 유지] 혈중 중성지질 개선, 혈행 개선, 기억력 개선, 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음 / [비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000271292,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
P010,알티지(rTG) 오메가3 맥스,광동헬스바이오(주) 2공장,기능성 원료,오메가3(EPA/DHA),혈액순환,200400200142182,2026-07-08,제조일로부터 24개월,고유의 향미가 있고 이미·이취가 없는 투명한 노란색의 내용물을 함유한 투명한 타원형 연질캡슐,"1일 1회, 1회 2캡슐을 충분한 물과 함께 섭취하십시오.","[EPA 및 DHA 함유 유지] / (1) 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것 / (2) 개인에 따라 피부 관련 이상반응이 발생할 수 있음 / (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",[EPA 및 DHA 함유 유지] / (1) 혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHFDetail.do?prdlstReportLedgNo=2026021000266827,식품안전나라(foodsafetykorea.go.kr) 건강기능식품 검색
