user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name,query_category
바이든 대통령의 행정명령은 AI 개발과 사용에 대해 어떤 내용을 포함하고 있습니까?,"['1. 정책/법제 2. 기업/산업 3. 기술/연구 4. 인력/교육\n 미국, 안전하고 신뢰할 수 있는 AI 개발과 사용에 관한 행정명령 발표\n KEY Contents\nn 미국 바이든 대통령이 ‘안전하고 신뢰할 수 있는 AI 개발과 사용에 관한 행정명령’에 서명하고\n광범위한 행정 조치를 명시\nn 행정명령은 △AI의 안전과 보안 기준 마련 △개인정보보호 △']","바이든 대통령이 서명한 '안전하고 신뢰할 수 있는 AI 개발과 사용에 관한 행정명령'은 AI의 안전과 보안 기준 마련, 개인정보 보호 등 광범위한 행정 조치를 명시하고 있습니다.",AI Policy Analyst,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer,single_hop_specific
주택 관련해서 AI가 어떻게 사용되나?,"['형평성과 시민권 향상 △소비자\n보호 △노동자 지원 △혁신과 경쟁 촉진 △국제협력을 골자로 함\n£바이든 대통령, AI 행정명령 통해 안전하고 신뢰할 수 있는 AI 개발과 활용 추진\nn 미국 바이든 대통령이 2023년 10월 30일 연방정부 차원에서 안전하고 신뢰할 수 있는 AI 개발과\n사용을 보장하기 위한 행정명령을 발표\n∙ 행정명령은 △AI의 안전과 보안 기준 마련 △개인정보보호 △형평성과 시민권 향상 △소비자 보호\n△노동자 지원 △혁신과 경쟁 촉진 △국제협력에 관한 내용을 포괄\nn (AI 안전과 보안 기준) 강력한 AI 시스템을 개발하는 기업에게 안전 테스트 결과와 시스템에 관한\n주요 정보를 미국 정부와 공유할 것을 요구하고, AI 시스템의 안전성과 신뢰성 확인을 위한 표준 및\nAI 생성 콘텐츠 표시를 위한 표준과 모범사례 확립을 추진\n∙ △1026 플롭스(FLOPS, Floating Point Operation Per Second)를 초과하는 컴퓨팅 성능 또는 생물학적\n서열 데이터를 주로 사용하고 1023플롭스를 초과하는 컴퓨팅 성능을 사용하는 모델 △단일 데이터센터에서\n1,000Gbit/s 이상의 네트워킹으로 연결되며 AI 훈련에서 이론상 최대 1020 플롭스를 처리할 수 있는\n컴퓨팅 용량을 갖춘 컴퓨팅 클러스터가 정보공유 요구대상\nn (형평성과 시민권 향상) 법률, 주택, 보건 분야에서 AI의 무책임한 사용으로 인한 차별과 편견 및 기타\n문제를 방지하는 조치를 확대\n∙ 형사사법 시스템에서 AI 사용 모범사례를 개발하고, 주택 임대 시 AI 알고리즘 차별을 막기 위한 명확한\n지침을 제공하며, 보건복지 부문에서 책임 있는 AI 배포와 사용을 위한 전략을 마련\nn (']","형평성과 시민권 향상 차원에서 AI의 무책임한 사용으로 인한 차별과 편견을 방지하기 위한 조치를 확대하고, 주택 임대 시 AI 알고리즘 차별을 막기 위한 명확한 지침을 제공하고 있습니다.",AI Policy Analyst,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer,single_hop_specific
"NAIRR의 목적은 무엇이며, 어떻게 미국 전역의 AI 연구를 촉진합니까?","['혁신과 경쟁 촉진 △국제협력을 골자로 함 £바이든 대통령, AI 행정명령 통해 안전하고 신뢰할 수 있는 AI 개발과 활용 추진 n 미국 바이든 대통령이 2023년 10월 30일 연방정부 차원에서 안전하고 신뢰할 수 있는 AI 개발과 사용을 보장하기 위한 행정명령을 발표 ∙ 행정명령은 △AI의 안전과 보안 기준 마련 △개인정보보호 △형평성과 시민권 향상 △소비자 보호 △노동자 지원 △혁신과 경쟁 촉진 △국제협력에 관한 내용을 포괄 n (AI 안전과 보안 기준) 강력한 AI 시스템을 개발하는 기업에게 안전 테스트 결과와 시스템에 관한 주요 정보를 미국 정부와 공유할 것을 요구하고, AI 시스템의 안전성과 신뢰성 확인을 위한 표준 및 AI 생성 콘텐츠 표시를 위한 표준과 모범사례 확립을 추진 ∙ △1026 플롭스(FLOPS, Floating Point Operation Per Second)를 초과하는 컴퓨팅 성능 또는 생물학적 서열 데이터를 주로 사용하고 1023플롭스를 초과하는 컴퓨팅 성능을 사용하는 모델 △단일 데이터센터에서 1,000Gbit/s 이상의 네트워킹으로 연결되며 AI 훈련에서 이론상 최대 1020 플롭스를 처리할 수 있는 컴퓨팅 용량을 갖춘 컴퓨팅 클러스터가 정보공유 요구대상 n (형평성과 시민권 향상) 법률, 주택, 보건 분야에서 AI의 무책임한 사용으로 인한 차별과 편견 및 기타 문제를 방지하는 조치를 확대 ∙ 형사사법 시스템에서 AI 사용 모범사례를 개발하고, 주택 임대 시 AI 알고리즘 차별을 막기 위한 명확한 지침을 제공하며, 보건복지 부문에서 책임 있는 AI 배포와 사용을 위한 전략을 마련 n (소비자 보호와 근로자 지원) 의료 분야에서 책임 있는 AI 사용을 촉진하고 맞춤형 개인교습 등 학교 내 AI 교육 도구 관련 자원을 개발하며, AI로 인한 근로자 피해를 완화하고 이점을 극대화하는 원칙과 모범사례를 마련 n (혁신과 경쟁 촉진) 국가AI연구자원(National Artificial Intelligence Research Resource, NAIRR)*을 통해 미국 전역의 AI 연구를 촉진하고, 중소기업과 개발자에 기술과 인프라를 지원 * 국가 차원에서 AI 연구 인프라를 확충해 더 많은 AI 연구자에게 인프라를 지원하는 프로그램 ∙ 비자 기준과 인터뷰 절차의 현대화와 간소화로 AI 관련 주요']","NAIRR(국가AI연구자원)는 미국 전역의 AI 연구를 촉진하기 위해 설계된 프로그램으로, 중소기업과 개발자에게 기술과 인프라를 지원하여 국가 차원에서 AI 연구 인프라를 확충하는 것을 목표로 합니다.",AI Specialist,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer,single_hop_specific
미국에서 AI와 관련된 규제를 다루는 Executive Order의 목적은 무엇인가요?,"['분야의 전문 지식을 갖춘 외국인들이 미국에서 공부하고 취업할 수 있도록 지원 ☞ 출처 : The White House, Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence (E.O. 14110), 2023.10.30.']","Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence (E.O. 14110)은 분야의 전문 지식을 갖춘 외국인들이 미국에서 공부하고 취업할 수 있도록 지원하는 것을 목표로 합니다.",AI Policy Analyst,MISSPELLED,LONG,single_hop_specific_query_synthesizer,single_hop_specific
"IDC에 따르면 2027년 AI 소프트웨어 매출이 2,500억 달러를 넘을 것인데, AI SIS와 AI AD&D의 성장률은 어떻게 되나요?","['<1-hop>\n\nSPRi AI Brief |\n2023-12월호\n IDC, 2027년 AI 소프트웨어 매출 2,500억 달러 돌파 전망\nKEY Contents\nn IDC의 예측에 의하면 AI 소프트웨어 시장은 2027년 2,510억 달러로 달할 전망이며, 생성\nAI 플랫폼과 애플리케이션은 2027년까지 283억 달러의 매출을 창출할 전망\nn 2023년 기준 AI 소프트웨어 매출의 3분의 1을 차지하는 최대 시장인 AI 애플리케이션은\n2027년까지 21.1%의 연평균 성장률을 기록할 전망\n£기업들의 AI 투자 증가에 힘입어   ', '<2-hop>\n\nAI SIS는 기존 소프트웨어 시스템과 통합되어\n방대한 데이터를 활용한 의사결정과 운영 최적화를 지원하며, 현재 매출 규모는 비교적 작지만 5년간\n연평균 성장률은 32.6%로 시장 전체를 웃돌 전망\n∙ 애플리케이션 개발, 소프트웨어 품질과 수명주기 관리 소프트웨어, 애플리케이션 플랫폼을 포함하는 AI\nAD&D는 향후 5년간 카테고리 중 가장 높은 38.7%의 연평균 성장률이 예상됨\nn IDC에 따르면 경제적 불확실성과 시장 역학의 변화에도 AI와 자동화 기술에 대한 기업들의 투자\n의지는 확고하며, 기업들은 AI 도입이 사업 성공과 경쟁우위에 필수적이라고 인식\n∙ IDC 설문조사에 따르면 향후 12개월 동안 응답자의 3분의 1은 기업이 특정 사용 사례나 응용 영역에서\n외부 AI 소프트웨어의 구매를 고려하거나 외부 AI 소프트웨어와 내부 자원의 결합을 고려\nn 한편, AI 소프트웨어 시장에 포함되지 않는 생성 AI 플랫폼과 애플리케이션은 2027년까지 283억\n달러의 매출을 창출할 전망\n☞ 출처 : IDC, IDC Forecasts Revenue for Artificial Intelligence Software Will Reach $279 Billion Worldwide in\n2027, 2023.10.31.\n12\n']","IDC의 예측에 의하면 AI 소프트웨어 시장은 2027년 2,510억 달러에 이를 것으로 보이며, AI SIS는 현재 매출 규모는 작지만 5년간 연평균 성장률이 32.6%로 시장 전체를 웃돌 전망입니다. 또한, AI AD&D는 애플리케이션 개발, 소프트웨어 품질과 수명주기 관리 소프트웨어, 애플리케이션 플랫폼을 포함하여 향후 5년간 가장 높은 38.7%의 연평균 성장률이 예상됩니다.",,,,multi_hop_specific_query_synthesizer,multi_hop_specific
2023년 11월 8일 삼성 AI 포럼에서 공개된 삼성 가우스와 관련하여 구글의 앤스로픽 투자 소식은 어떤 연관이 있나요?,"['<1-hop>\n\nSPRi AI Brief |\n2023-12월호\n 삼성전자, 자체 개발 생성 AI ‘삼성 가우스’ 공개\n KEY Contents\nn 삼성전자가 온디바이스에서 작동 가능하며 언어, 코드, 이미지의 3개 모델로 구성된 자체 개발 생성\nAI 모델 ‘삼성 가우스’를 공개\nn 삼성전자는 삼성 가우스를 다양한 제품에 단계적으로 탑재할 계획으로, 온디바이스 작동이 가능한\n삼성 가우스는 외부로 사용자 정보가 유출될 위험이 없다는 장점을 보유\n£언어, 코드, 이미지의 3개 모델로 구성된 삼성 가우스, 온디바이스 작동 지원\nn 삼성전자가 2023년 11월 8일 열린 ‘삼성 AI 포럼 2023’ 행사에서 자체 개발한 생성 AI 모델\n‘삼성 가우스’를 최초 공개\n∙ 정규분포 이론을 정립한 천재 수학자 가우스(Gauss)의 이름을 본뜬 삼성 가우스는 다양한 상황에\n최적화된 크기의 모델 선택이 가능\n∙ 삼성 가우스는 라이선스나 개인정보를 침해하지 않는 안전한 데이터를 통해 학습되었으며,\n온디바이스에서 작동하도록 설계되어 외부로 사용자의 정보가 유출되지 않는 장점을 보유\n∙ 삼성전자는 삼성 가우스를 활용한 ', '<2-hop>\n\n구글, 앤스로픽에 최대 20억 달러 투자 합의 및 클라우드 서비스 제공\nn 구글이 2023년 10월 27일 앤스로픽에 최대 20억 달러를 투자하기로 합의했으며, 이 중 5억\n달러를 우선 투자하고 향후 15억 달러를 추가로 투자할 방침\n∙ 구글은 2023년 2월 앤스로픽에 이미 5억 5,000만 달러를 투자한 바 있으며, 아마존도 지난 9월\n앤스로픽에 최대 40억 달러의 투자 계획을 공개\n∙ 한편, 2023년 11월 8일 블룸버그 보도에 따르면 앤스로픽은 구글의 클라우드 서비스 사용을 위해\n4년간 30억 달러 규모의 계약을 체결\n∙ 오픈AI 창업자 그룹의 일원이었던 다리오(Dario Amodei)와 다니엘라 아모데이(Daniela Amodei)\n남매가 2021년 설립한 앤스로픽은 챗GPT의 대항마 ‘클로드(Claude)’ LLM을 개발\nn 아마존과 구글의 앤스로픽 투자에 앞서, 마이크로소프트는 차세대 AI 모델의 대표 주자인 오픈\nAI와 협력을 확대\n∙ 마이크로소프트는 오픈AI에 앞서 투자한 30억 달러에 더해 2023년 1월 추가로 100억 달러를\n투자하기로 하면서 오픈AI의 지분 49%를 확보했으며, 오픈AI는 마이크로소프트의 애저(Azure)\n클라우드 플랫폼을 사용해 AI 모델을 훈련\n£']","2023년 11월 8일 삼성 AI 포럼에서 삼성전자가 자체 개발한 생성 AI 모델 ‘삼성 가우스’를 공개했습니다. 같은 날 블룸버그 보도에 따르면, 구글은 앤스로픽과 4년간 30억 달러 규모의 클라우드 서비스 계약을 체결했습니다. 이는 AI 기술의 발전과 경쟁이 심화되는 가운데, 삼성 가우스와 앤스로픽의 클라우드 서비스가 서로 다른 방향에서 AI 시장에 영향을 미치고 있음을 보여줍니다.",,,,multi_hop_specific_query_synthesizer,multi_hop_specific
"유튜브가 2023년 11월 14일에 발표한 새로운 규칙에 따르면, 생성 AI를 사용한 콘텐츠에 어떤 라벨을 표시해야 하며, 이를 따르지 않을 경우 어떤 결과가 발생하나요?","['<1-hop>\n\n유튜브, 생성 AI 콘텐츠에 AI 라벨 표시 안 하면 콘텐츠 삭제\nn 유튜브가 2023년 11월 14일 공식 블로그를 통해 몇 달 안에 생성 AI를 사용한 콘텐츠에 AI\n라벨을 표시하는 새로운 규칙을 시행한다고 발표\n∙ 실제로 일어나지 않은 사건을 사실적으로 묘사하거나 실제로 하지 않은 말이나 행동을 보여주는 콘텐츠와\n같이 AI 도구를 사용해 사실적으로 변경되거나 합성된 콘텐츠에는 AI 라벨을 표시 필요\n∙ 유튜브는 이러한 규칙이 선거나 분쟁 상황, 공중 보건, 공직자 관련 문제와 같이 민감한 주제를 다루는\n콘텐츠에서 특히 중요하다고 강조했으며, 크리에이터가 AI로 제작한 콘텐츠에 AI 라벨을 표시하지 않으면\n해당 콘텐츠는 삭제되고 광고 수익을 배분하는 유튜브 파트너 프로그램도 정지될 수 있음\n∙ 유튜브는 두 가지 방식으로 AI를 이용한 콘텐츠의 변경이나 합성 여부를 시청자에게 전달할 계획으로\n동영상 설명 패널에 라벨을 표시하는 방식이 기본이며, 민감한 주제를 다루는 특정 유형의 콘텐츠는 동영상\n플레이어에 더욱 눈에 띄는 라벨을 적용\n∙ 유튜브는 커뮤니티 정책에 위반되는 일부 합성 콘텐츠에 대해서는 라벨 지정 여부와 관계없이 삭제할\n방침으로, 가령 사실적인 폭력을 보여주는 합성 동영상이 시청자에게 충격이나 혐오감을 줄 수 있다면\n삭제될 수 있음\n£']","유튜브는 2023년 11월 14일 공식 블로그를 통해 생성 AI를 사용한 콘텐츠에 AI 라벨을 표시해야 한다고 발표했습니다. 이 규칙을 따르지 않을 경우, 해당 콘텐츠는 삭제될 수 있으며, 광고 수익을 배분하는 유튜브 파트너 프로그램도 정지될 수 있습니다. 특히, 선거나 분쟁 상황, 공중 보건, 공직자 관련 문제와 같은 민감한 주제를 다루는 콘텐츠에서 AI 라벨의 중요성이 강조되었습니다.",,,,multi_hop_specific_query_synthesizer,multi_hop_specific
영국 AI 안전 연구소의 설립과 블레츨리 선언이 AI 시스템의 효과적 거버넌스와 투명성 향상에 어떻게 기여할 것으로 예상되나요?,"['<1-hop>\n\nKEY Contents\nn 영국 블레츨리 파크에서 개최된 AI 안전성 정상회의에 참가한 28개국들이 AI 안전 보장을\n위한 협력 방안을 담은 블레츨리 선언을 발표\nn 첨단 AI를 개발하는 국가와 기업들은 AI 시스템에 대한 안전 테스트 계획에 합의했으며,\n영국의 AI 안전 연구소가 전 세계 국가와 협력해 테스트를 주도할 예정\n£AI 안전성 정상회의 참가국들, 블레츨리 선언 통해 AI 안전 보장을 위한 협력에 합의\nn 2023년 11월 1~2일 영국 블레츨리 파크에서 열린 AI 안전성 정상회의(AI Safety Summit)에\n참가한 28개국 대표들이 AI 위험 관리를 위한 ‘블레츨리 선언’을 발표\n∙ 선언은 AI 안전 보장을 위해 국가, 국제기구, 기업, 시민사회, 학계를 포함한 모든 이해관계자의 협력이\n중요하다고 강조했으며, 특히 최첨단 AI 시스템 개발 기업은 안전 평가를 비롯한 적절한 조치를 취하여\nAI 시스템의 안전을 보장할 책임이 있다고 지적\n∙ 각국은 AI 안전 보장을 위해 첨단 AI 개발기업의 투명성 향상, 적절한 평가지표와 안전 테스트 도구\n개발, 공공부문 역량 구축과 과학 연구개발 등의 분야에서 협력하기로 합의\n£', '<2-hop>\n\nAI 안전 연구 촉진, 정보교류 활성화를 추진할 계획 £영국 AI 안전 연구소, 첨단 AI 시스템 평가와 AI 안전 연구, 정보 교류 추진 n 영국 과학혁신기술부가 2023년 11월 2일 첨단 AI 안전에 중점을 둔 국가 연구기관으로 AI 안전 연구소(AI Safety Institute)를 설립한다고 발표 ∙ AI 안전 연구소는 첨단 AI의 위험을 이해하고 거버넌스 마련에 필요한 사회·기술적 인프라 개발을 통해 영국을 AI 안전 연구의 글로벌 허브로 확립하는 것을 목표로 함 ∙ 영국 정부는 향후 10년간 연구소에 공공자금을 투자해 연구를 지원할 계획으로, 연구소는 △첨단 AI 시스템 평가 개발과 시행 △AI 안전 연구 촉진 △정보 교류 활성화를 핵심 기능으로 함 n (첨단 AI 시스템 평가 개발과 시행) 시스템의 안전 관련 속성을 중심으로 안전과 보안 기능을 이해 하고 사회적 영향을 평가 ∙ 평가 우선순위는 △사이버범죄 조장, 허위 정보 유포 등 악의적으로 활용될 수 있는 기능 △사회에 미치는 영향 △시스템 안전과 보안 △인간의 통제력 상실 가능성 순 ∙ 연구소는 외부 기관과 협력해 자체 시스템 평가를 개발 및 수행하고, 평가와 관련된 의견 공유 및 지침 마련을 위해 전문가 커뮤니티를 소집할 계획 n (AI 안전 연구 촉진) 외부 연구자를 소집하고 다양한 예비 연구 프로젝트를 통해 AI 안전 기초연구를 수행 ∙ AI 시스템의 효과적 거버넌스를 위한 도구 개발* 및 안전한 AI 시스템 개발을 위한 새로운 접근 방식 연구를 수행 * 편향된 훈련 데이터에 대한 분석기술, 민감한 정보를 포함하는 AI 시스템에 대한 미세 조정 방법 n (정보 교류 활성화) 현행 개인정보보호와 데이터 규제 하에서 연구소와 정책입안자, 국제 파트너, 학계, 시민사회 및 일반 대중과 정보 공유 채널을 구축 ∙ AI 안전성 정상회의(AI Safety Summit)에서 합의된 대로 첨단 AI 모델의 평가 후 해당 모델이 배포된 타국의 정부 및 연구소와 평가 결과를 공유하고, 학계와 대중이 AI 시스템의 피해와 취약점을 보고할 수 있는 명확한 절차를 수립 ☞ 출처 : Gov.uk, Introducing the AI Safety Institute, 2023.11.02. Venturebeat, Researchers']","영국 AI 안전 연구소는 첨단 AI 시스템 평가와 AI 안전 연구를 통해 AI 시스템의 효과적 거버넌스를 위한 도구 개발 및 안전한 AI 시스템 개발을 위한 새로운 접근 방식을 연구할 계획입니다. 블레츨리 선언은 AI 안전 보장을 위해 모든 이해관계자의 협력이 중요하다고 강조하며, 특히 최첨단 AI 시스템 개발 기업은 안전 평가와 투명성 향상을 통해 AI 시스템의 안전을 보장할 책임이 있다고 지적합니다. 이러한 두 가지 이니셔티브는 AI 시스템의 안전성과 투명성을 높이는 데 중요한 역할을 할 것으로 기대됩니다.",,,,multi_hop_abstract_query_synthesizer,multi_hop_abstract
"영국 AI 안전성 정상회의에서 AI 위험에 공동 대응하기 위한 각국의 합의는 무엇이며, 리시 수낙 총리가 발표한 안전성 테스트 계획의 주요 내용은 무엇인가요?","['<1-hop>\n\n1. 정책/법제 2. 기업/산업 3. 기술/연구 4. 인력/교육\n 영국 AI 안전성 정상회의에 참가한 28개국, AI 위험에 공동 대응 선언\n', '<2-hop>\n\n영국 총리, 정부 주도의 첨단 AI 시스템 안전 테스트 계획 발표\nn 리시 수낙 영국 총리는 AI 안전성 정상회의를 마무리하며 첨단 AI 모델에 대한 안전성 시험 계획\n수립과 테스트 수행을 주도할 영국 AI 안전 연구소의 출범을 발표\n∙ 첨단 AI 모델의 안전 테스트는 국가 안보와 안전, 사회적 피해를 포함한 여러 잠재적 유해 기능에 대한\n시험을 포함하며, 참석자들은 정부 주도의 외부 안전 테스트에 합의\n∙ 각국 정부는 테스트와 기타 안전 연구를 위한 공공부문 역량에 투자하고, 테스트 결과가 다른 국가와\n관련된 경우 해당 국가와 결과를 공유하며, 적절한 시기에 공동 표준 개발을 위해 노력하기로 합의\nn 참가국들은 튜링상을 수상한 AI 학자인 요슈아 벤지오 교수가 주도하는 ‘과학의 현황(State of\nthe Science)’ 보고서 작성에도 합의했으며, 보고서를 통해 첨단 AI의 위험과 가능성에 관한\n기존 연구를 과학적으로 평가하고 향후 AI 안전 연구를 위한 우선순위를 제시할 계획\nn  한국은 영국 정부와 6개월 뒤에 온라인으로 AI 미니 정상회의를 공동 개최하기로 합의했으며,\n프랑스 정부와는 1년 후 대면 정상회의를 개최할 예정\n☞ 출처: Gov.uk, The Bletchley Declaration by Countries Attending the AI Safety Summit, 1-2 November 2023, 2023.11.01.\nGov.uk, World leaders, top AI companies set out plan for safety testing of frontier as first global AI Safety Summit\nconcludes, 2023.11.02.\n']","영국 AI 안전성 정상회의에 참가한 28개국은 AI 위험에 공동 대응하기로 선언했습니다. 리시 수낙 영국 총리는 첨단 AI 모델에 대한 안전성 시험 계획을 수립하고 이를 주도할 영국 AI 안전 연구소의 출범을 발표했습니다. 이 안전 테스트는 국가 안보와 안전, 사회적 피해를 포함한 여러 잠재적 유해 기능에 대한 시험을 포함하며, 참석자들은 정부 주도의 외부 안전 테스트에 합의했습니다. 각국 정부는 테스트와 기타 안전 연구를 위한 공공부문 역량에 투자하고, 테스트 결과가 다른 국가와 관련된 경우 해당 국가와 결과를 공유하며, 적절한 시기에 공동 표준 개발을 위해 노력하기로 합의했습니다.",,,,multi_hop_abstract_query_synthesizer,multi_hop_abstract
"AI 안전 연구소의 설립과 블레츨리 선언에서 언급된 AI 안전 테스트 계획은 어떻게 연결되며, 이들 간의 협력 방안은 무엇인가요?","['<1-hop>\n\nKEY Contents\nn 영국 블레츨리 파크에서 개최된 AI 안전성 정상회의에 참가한 28개국들이 AI 안전 보장을\n위한 협력 방안을 담은 블레츨리 선언을 발표\nn 첨단 AI를 개발하는 국가와 기업들은 AI 시스템에 대한 안전 테스트 계획에 합의했으며,\n영국의 AI 안전 연구소가 전 세계 국가와 협력해 테스트를 주도할 예정\n£AI 안전성 정상회의 참가국들, 블레츨리 선언 통해 AI 안전 보장을 위한 협력에 합의\nn 2023년 11월 1~2일 영국 블레츨리 파크에서 열린 AI 안전성 정상회의(AI Safety Summit)에\n참가한 28개국 대표들이 AI 위험 관리를 위한 ‘블레츨리 선언’을 발표\n∙ 선언은 AI 안전 보장을 위해 국가, 국제기구, 기업, 시민사회, 학계를 포함한 모든 이해관계자의 협력이\n중요하다고 강조했으며, 특히 최첨단 AI 시스템 개발 기업은 안전 평가를 비롯한 적절한 조치를 취하여\nAI 시스템의 안전을 보장할 책임이 있다고 지적\n∙ 각국은 AI 안전 보장을 위해 첨단 AI 개발기업의 투명성 향상, 적절한 평가지표와 안전 테스트 도구\n개발, 공공부문 역량 구축과 과학 연구개발 등의 분야에서 협력하기로 합의\n£', '<2-hop>\n\nAI 안전 연구 촉진, 정보교류 활성화를 추진할 계획 £영국 AI 안전 연구소, 첨단 AI 시스템 평가와 AI 안전 연구, 정보 교류 추진 n 영국 과학혁신기술부가 2023년 11월 2일 첨단 AI 안전에 중점을 둔 국가 연구기관으로 AI 안전 연구소(AI Safety Institute)를 설립한다고 발표 ∙ AI 안전 연구소는 첨단 AI의 위험을 이해하고 거버넌스 마련에 필요한 사회·기술적 인프라 개발을 통해 영국을 AI 안전 연구의 글로벌 허브로 확립하는 것을 목표로 함 ∙ 영국 정부는 향후 10년간 연구소에 공공자금을 투자해 연구를 지원할 계획으로, 연구소는 △첨단 AI 시스템 평가 개발과 시행 △AI 안전 연구 촉진 △정보 교류 활성화를 핵심 기능으로 함 n (첨단 AI 시스템 평가 개발과 시행) 시스템의 안전 관련 속성을 중심으로 안전과 보안 기능을 이해 하고 사회적 영향을 평가 ∙ 평가 우선순위는 △사이버범죄 조장, 허위 정보 유포 등 악의적으로 활용될 수 있는 기능 △사회에 미치는 영향 △시스템 안전과 보안 △인간의 통제력 상실 가능성 순 ∙ 연구소는 외부 기관과 협력해 자체 시스템 평가를 개발 및 수행하고, 평가와 관련된 의견 공유 및 지침 마련을 위해 전문가 커뮤니티를 소집할 계획 n (AI 안전 연구 촉진) 외부 연구자를 소집하고 다양한 예비 연구 프로젝트를 통해 AI 안전 기초연구를 수행 ∙ AI 시스템의 효과적 거버넌스를 위한 도구 개발* 및 안전한 AI 시스템 개발을 위한 새로운 접근 방식 연구를 수행 * 편향된 훈련 데이터에 대한 분석기술, 민감한 정보를 포함하는 AI 시스템에 대한 미세 조정 방법 n (정보 교류 활성화) 현행 개인정보보호와 데이터 규제 하에서 연구소와 정책입안자, 국제 파트너, 학계, 시민사회 및 일반 대중과 정보 공유 채널을 구축 ∙ AI 안전성 정상회의(AI Safety Summit)에서 합의된 대로 첨단 AI 모델의 평가 후 해당 모델이 배포된 타국의 정부 및 연구소와 평가 결과를 공유하고, 학계와 대중이 AI 시스템의 피해와 취약점을 보고할 수 있는 명확한 절차를 수립 ☞ 출처 : Gov.uk, Introducing the AI Safety Institute, 2023.11.02. Venturebeat, Researchers', '<3-hop>\n\n1. 정책/법제 2. 기업/산업 3. 기술/연구 4. 인력/교육\n 영국 과학혁신기술부, AI 안전 연구소 설립 발표\n KEY Contents\nn 영국 과학혁신기술부가 첨단 AI 시스템에 대한 평가를 통해 안전성을 보장하기 위한 AI\n안전 연구소를 설립한다고 발표\nn AI 안전 연구소는 핵심 기능으로  첨단 AI 시스템 평가 개발과 시행,  turn to Harry Potter to make AI forget about copyrighted material, 2023.10.06.']","AI 안전 연구소는 영국 과학혁신기술부에 의해 설립되어 첨단 AI 시스템의 안전성을 보장하기 위한 평가 개발과 시행을 핵심 기능으로 하고 있습니다. 블레츨리 선언에서는 AI 안전 보장을 위해 28개국이 협력 방안을 발표하였으며, 이 선언은 AI 시스템에 대한 안전 테스트 계획에 합의한 내용을 포함하고 있습니다. 두 가지는 AI 안전성을 높이기 위해 국가, 기업, 시민사회 등 모든 이해관계자가 협력해야 한다는 점에서 연결되며, AI 안전 연구소는 이러한 협력의 중심에서 AI 시스템의 안전 평가와 연구를 주도할 예정입니다.",,,,multi_hop_abstract_query_synthesizer,multi_hop_abstract
